Key,Value
en,"Congratulations, Marilyn Manson!
Looking forward to a great new album soon.
I have known you was innocent from the start, so I don't have to delete alot of comments like so many others does. We Are Chaos was awesome!"
en,Yeah he did real good on this.
en,Your into jesus christ marilyn harder than hell in colorado winter I locked myself in my house in colorado and got into jesus christ I'm the missouri vietnam child I had vulgar thrown on my body disgust trash that stinks I swear I had harder life than you actually I like your grandpa your nosey Brian nosey than hell it self devils nice sometimes on religious god night
en,"I'm 7000ish days in my binge lol nearly 20 years of living life to the fullest, I know I'm Gunna die young but fuck it I've lived every day like it was my last and I've had a bloody good time doing it"
en,I know a few people who should be 6 feet deep.....
en,I Really like this video and baby you make the Best.
en,"Like Bowie, a true ARTIST in every sense of the word."
en,I real vampire from true horror
en,"The character the joker should be played by Marilyn Manson and only him, he would do a great job and No One can tell me different!!"
en,Marry me
en,"All the best for april 11th my man, fact Ashley Smithline spoke the truth of Evan and Illma's hoax means their case is basically dead in the water now, I hope you can rebuild yourself once more, like columbine this was nothing more than a media witch hunt fuelled by a collaborative metoo social media hysterical hoax against an easy target."
en,This song is phenomenal
en,Marilyn Manson does not chase the dead
en,Always loved the lyrics of this song but not the original Performance this one is an amazing cover
en,Marilyn Manson is my third day of a seven-day binge
en,"I'm just here to show you some love after the woke mob tried to sideline you with a manufactured rape case.  Keep on truckin my dude.  You were a good voice when I was a teenage punk.  I am overjoyed to see you're still making music, and I am writing down your name now, as I build a list of artists that are targeted by, or make targets out of these sociopaths.  Music is going to be very important if we ever want a cultural revolution.  Keep being yourself, I love the grunge sound."
en,My dad is can play this song with a guitar cover
en,I will make you feel happy Daddy I will make love to you for hours and all day and night to morning and over and over again all your fantasies I will give it to you.
en,It's like I remember meeting you in a past life or something.
en,I'm gonna go thru those pics and I swear this man years ago  I met looked exactly like you and I was 16 or 17.
en,Smithline flipped!!!
en,0:21  You just can't help but clap along with him... It's too good. :)
en,Norman Reedus looks bad ass as fuck. He seems pissed off. Kinda scary. Can't think of anyone better than him to be in a same video with MM. Fuck yeah man.
en,This man just being his simple self has so many layers. I just love watching him and his art.
en,This man just being his simple self has so many layers. I just love watching him and his art.
en,WE NEED A NEW ALBUM! PLEASE RELEASED IT!!!
en,Straight to the dumpster
en,"The music is so awesome, what a great band behind him."
en,You have a old house i see so can we new so have i a home too
en,I by me at home when want you is our see we wrong
en,Think you jes is it right you have think i in dangeroures jes this is what it is this bathroom without eindow not my new home want paper house not so i tell left side jes their end money mean paper house
en,Hes great writer songs in my view
en,You dont think.this huy talented tell me who.write I g like this not your ass ok good
en,maybe my interpretation is wrong but are we are to assume manson ended up bleeding to death during the car ride so as revenge lindsay shot norman for stabbing manson?
en,"hello marilyn manson, i like this song because i see myself reflected in it."
en,Alice Cooper
en,Unchain me
en,crazy not even the title track
en,Marilyn Manson is an alchemical man...
en,Marilyn is a real true life God bless us
en,Reminds me of a joke Heino song on Instagram about a gypsy girl who fingerd him with her pinky finger
en,he promotion for this new era is nothing short of incredible
en,"All these fools though him dead, be dead themselves, MM just returned from the dead"
en,"somewhat looked at in a taboo way. Now, i realise in my older years"
en,ansons music must mean so much to hera lot to me too but look those tattoo
en,A song about Lisa Marie Presley?
en,"Lyrics: 
Smell your blood
It's like a carnival, or state fair
Skin is cotton candy
So easy to melt in my mouth
Don't wanna know
Don't need to know
You got champagne problems
Don't wanna know
Don't need to know
You got champagne problems
I need a raincoat for tomorrow
I need a raincoat for tomorrow
It's about how much people cry
When you die
It's not about the storm of tears
That you make when you're alive
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Ring all the bells you can ring
There's a crack in everything
That's how the sunlight gets in
Ring all the bells you can ring
There's a crack in everything
That's how the sunlight gets in
Don't wanna know
Don't need to know
You got champagne problems
Don't wanna know
Don't need to know
You got champagne problems
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Don't wanna know (half-way and one step forward)
Don't need to know (past the points of no return)
You got champagne problems (half-way and one step forward)
Don't wanna know (half-way and one step forward)
Don't need to know (past the points of no return)
You got champagne problems (half-way and one step forward)
Past the points of no return"
en,Love it...this is powerful
en,"The footage of them dissing each other on stage, was well... staged."
en,This song sounds like plagiarism. Listen and compare to the Seed (2.0) by the Roots. Someone gonna sue someone.
en,Good to see him still making socially relevant music smart guy and terrific
en,pretty are always kept behind glass to defend herself from kids making
en,"drives behind and the guitar just winks, the synth completes everything"
en,"Why is this masterpiece so underrated?
Just 3m"
en,His voice is only becoming gold over the years! MM fan for life
en,"voice drives behind and the guitar just winks, the synth completes everythin"
en,MM is the best of THEM
en,I love Marilyn manson
en,She a nimpho I'm done share her Cleveland giggling to myself dead! Doctor music said..scene out
en,"good old days - epic wars, razing entire towns, remorseless slaughter"
en,hat he can still deliver a great piece of work The guy lost his parent
en,aven't felt these goosebumps since Holy Woo! Keep kicking ass my dude
en,"yrically and musically, they are all masterpieces Will always be a fan"
en,some of the darkest music will bring some people out of the darkest places
en,"I love listening to him talk in interviews, his voice sounds so good"
en,never forget all your fans who will never have the chance
en,But Manson is on a whole other like dimension or level than any of those artists
en,That's Tomorrow sorrow
en,"You wanna know what Zeus said to Narcissus...?
'you'd better watch yourself'"
en,When are you going to find Jesus?
en,Love this
en,Someone owes them an apology I think
en,Legend we love you
en,Touch my soul every time. This is Art and beautifull.
en,"Mr Mason I owe you a apology. I made a rude comment about one of your videos because I was blaming YOU for the evil around me.... And that's just wrong especially for someone who loves God. And I know how the church can screw over so many young because well there not the ideal student. Bottom line the church is the ones who love God not who make a spectacle once a week and expect to be saved for Nothing. He'll I went thru a phase when I blamed the evil one for my pain. But really deception has a role. So does evil before the start of something great. Christians today are soft, in love with money, and way too much idolatry. I don't think if My God as just someone on a cross. Yes it was beautiful sacrifice.  But I think maybe you are sensitive to the spirits like myself just from you music.  Down in the park is amazing so many other ones. I'm rambling. But anyways you know eventually the wolf will lay down with the lamb. It's eventual. The only question is who wants to do it and when. I want to make metal for God. That sounds crazy but can you imagine it???? Anyway peace be with you brother. I've been around enough people to know never judge a book buy its cover. And I'm sorry for that. Keep doing what makes you happy as long as it does not torture to many different people lol. May God bles us all"
en,Antibiotics for cold from Doc
en,I got antibiotics for this terrible cool. And I'm keeping the trailer warm. I Definitely put propane money aside... Yesterday is was Snowing here in Hemet CA. some people say that's odd for it to happen here and rn.
en,I only believe in things I seen to be real or yeah our connection is Very Real I never have felt that strongly connected EVER
en,And the aliens have always wanted me
en,This intro was supposed to be a placeholder for sonething better but they used this one bc they didn't care.
en,"His music saved my life.
I made fanart of him and he liked and commented on it.
He truly cares about his fans"
en,"I need this song, but don't want it : ("
en,I Love LOVE TEASING YOU.
en,The song is revealing the secrets
en,"My body doesnt work how it used to from the psychiatric abuse after the mafia cunts at UMG plagiarized parts of this from shit i did in my house. Manson is a mobster and a thief. I thought he was someone like me when i was a teenager, but now i know he's just another tool of this disgusting nation where everything i am is killed off while everything i hate most survives. There is one culture in the usa and it is sadistic abuse for any reason that anyone can find."
en,Thank you Manson Ashley comes ever time she hears this song....
en,Ashley loves me.....Marilyn call me.
en,Miss you Manson! We are with you!
en,The punisher season 2 brought me here
en,"Kind of depressing this is my Album on this earth? Isn't it?

I said goodbye to my father for now, the man I became. I hope to visit his temple this year, somewhere below this city.

I am DISCO.
We were chaos.
Yet, this broken needle sings
Will never play you again."
en,"Congratulations, Marilyn Manson!
Looking forward to a great new album soon.
I have known you was innocent from the start, so I don't have to delete alot of comments like so many others does. We Are Chaos was awesome!"
en,Yeah he did real good on this.
en,Your into jesus christ marilyn harder than hell in colorado winter I locked myself in my house in colorado and got into jesus christ I'm the missouri vietnam child I had vulgar thrown on my body disgust trash that stinks I swear I had harder life than you actually I like your grandpa your nosey Brian nosey than hell it self devils nice sometimes on religious god night
en,"I'm 7000ish days in my binge lol nearly 20 years of living life to the fullest, I know I'm Gunna die young but fuck it I've lived every day like it was my last and I've had a bloody good time doing it"
en,I know a few people who should be 6 feet deep.....
en,I Really like this video and baby you make the Best.
en,"Like Bowie, a true ARTIST in every sense of the word."
en,I real vampire from true horror
en,"The character the joker should be played by Marilyn Manson and only him, he would do a great job and No One can tell me different!!"
en,Marry me
en,"All the best for april 11th my man, fact Ashley Smithline spoke the truth of Evan and Illma's hoax means their case is basically dead in the water now, I hope you can rebuild yourself once more, like columbine this was nothing more than a media witch hunt fuelled by a collaborative metoo social media hysterical hoax against an easy target."
en,This song is phenomenal
en,Marilyn Manson does not chase the dead
en,Always loved the lyrics of this song but not the original Performance this one is an amazing cover
en,Marilyn Manson is my third day of a seven-day binge
en,"I'm just here to show you some love after the woke mob tried to sideline you with a manufactured rape case.  Keep on truckin my dude.  You were a good voice when I was a teenage punk.  I am overjoyed to see you're still making music, and I am writing down your name now, as I build a list of artists that are targeted by, or make targets out of these sociopaths.  Music is going to be very important if we ever want a cultural revolution.  Keep being yourself, I love the grunge sound."
en,My dad is can play this song with a guitar cover
en,I will make you feel happy Daddy I will make love to you for hours and all day and night to morning and over and over again all your fantasies I will give it to you.
en,It's like I remember meeting you in a past life or something.
en,I'm gonna go thru those pics and I swear this man years ago  I met looked exactly like you and I was 16 or 17.
en,Smithline flipped!!!
en,0:21  You just can't help but clap along with him... It's too good. :)
en,Norman Reedus looks bad ass as fuck. He seems pissed off. Kinda scary. Can't think of anyone better than him to be in a same video with MM. Fuck yeah man.
en,This man just being his simple self has so many layers. I just love watching him and his art.
en,This man just being his simple self has so many layers. I just love watching him and his art.
en,WE NEED A NEW ALBUM! PLEASE RELEASED IT!!!
en,Straight to the dumpster
en,"The music is so awesome, what a great band behind him."
en,You have a old house i see so can we new so have i a home too
en,I by me at home when want you is our see we wrong
en,Think you jes is it right you have think i in dangeroures jes this is what it is this bathroom without eindow not my new home want paper house not so i tell left side jes their end money mean paper house
en,Hes great writer songs in my view
en,You dont think.this huy talented tell me who.write I g like this not your ass ok good
en,maybe my interpretation is wrong but are we are to assume manson ended up bleeding to death during the car ride so as revenge lindsay shot norman for stabbing manson?
en,"hello marilyn manson, i like this song because i see myself reflected in it."
en,Alice Cooper
en,Unchain me
en,crazy not even the title track
en,Marilyn Manson is an alchemical man...
en,Marilyn is a real true life God bless us
en,Reminds me of a joke Heino song on Instagram about a gypsy girl who fingerd him with her pinky finger
en,he promotion for this new era is nothing short of incredible
en,"All these fools though him dead, be dead themselves, MM just returned from the dead"
en,"somewhat looked at in a taboo way. Now, i realise in my older years"
en,ansons music must mean so much to hera lot to me too but look those tattoo
en,A song about Lisa Marie Presley?
en,"Lyrics: 
Smell your blood
It's like a carnival, or state fair
Skin is cotton candy
So easy to melt in my mouth
Don't wanna know
Don't need to know
You got champagne problems
Don't wanna know
Don't need to know
You got champagne problems
I need a raincoat for tomorrow
I need a raincoat for tomorrow
It's about how much people cry
When you die
It's not about the storm of tears
That you make when you're alive
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Ring all the bells you can ring
There's a crack in everything
That's how the sunlight gets in
Ring all the bells you can ring
There's a crack in everything
That's how the sunlight gets in
Don't wanna know
Don't need to know
You got champagne problems
Don't wanna know
Don't need to know
You got champagne problems
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Don't wanna know (half-way and one step forward)
Don't need to know (past the points of no return)
You got champagne problems (half-way and one step forward)
Don't wanna know (half-way and one step forward)
Don't need to know (past the points of no return)
You got champagne problems (half-way and one step forward)
Past the points of no return"
en,Love it...this is powerful
en,"The footage of them dissing each other on stage, was well... staged."
en,This song sounds like plagiarism. Listen and compare to the Seed (2.0) by the Roots. Someone gonna sue someone.
en,Good to see him still making socially relevant music smart guy and terrific
en,pretty are always kept behind glass to defend herself from kids making
en,"drives behind and the guitar just winks, the synth completes everything"
en,"Why is this masterpiece so underrated?
Just 3m"
en,His voice is only becoming gold over the years! MM fan for life
en,"voice drives behind and the guitar just winks, the synth completes everythin"
en,MM is the best of THEM
en,I love Marilyn manson
en,She a nimpho I'm done share her Cleveland giggling to myself dead! Doctor music said..scene out
en,"good old days - epic wars, razing entire towns, remorseless slaughter"
en,hat he can still deliver a great piece of work The guy lost his parent
en,aven't felt these goosebumps since Holy Woo! Keep kicking ass my dude
en,"yrically and musically, they are all masterpieces Will always be a fan"
en,some of the darkest music will bring some people out of the darkest places
en,"I love listening to him talk in interviews, his voice sounds so good"
en,never forget all your fans who will never have the chance
en,But Manson is on a whole other like dimension or level than any of those artists
en,That's Tomorrow sorrow
en,"You wanna know what Zeus said to Narcissus...?
'you'd better watch yourself'"
en,When are you going to find Jesus?
en,Love this
en,Someone owes them an apology I think
en,Legend we love you
en,Touch my soul every time. This is Art and beautifull.
en,"Mr Mason I owe you a apology. I made a rude comment about one of your videos because I was blaming YOU for the evil around me.... And that's just wrong especially for someone who loves God. And I know how the church can screw over so many young because well there not the ideal student. Bottom line the church is the ones who love God not who make a spectacle once a week and expect to be saved for Nothing. He'll I went thru a phase when I blamed the evil one for my pain. But really deception has a role. So does evil before the start of something great. Christians today are soft, in love with money, and way too much idolatry. I don't think if My God as just someone on a cross. Yes it was beautiful sacrifice.  But I think maybe you are sensitive to the spirits like myself just from you music.  Down in the park is amazing so many other ones. I'm rambling. But anyways you know eventually the wolf will lay down with the lamb. It's eventual. The only question is who wants to do it and when. I want to make metal for God. That sounds crazy but can you imagine it???? Anyway peace be with you brother. I've been around enough people to know never judge a book buy its cover. And I'm sorry for that. Keep doing what makes you happy as long as it does not torture to many different people lol. May God bles us all"
en,Antibiotics for cold from Doc
en,I got antibiotics for this terrible cool. And I'm keeping the trailer warm. I Definitely put propane money aside... Yesterday is was Snowing here in Hemet CA. some people say that's odd for it to happen here and rn.
en,I only believe in things I seen to be real or yeah our connection is Very Real I never have felt that strongly connected EVER
en,And the aliens have always wanted me
en,This intro was supposed to be a placeholder for sonething better but they used this one bc they didn't care.
en,"His music saved my life.
I made fanart of him and he liked and commented on it.
He truly cares about his fans"
en,"I need this song, but don't want it : ("
en,I Love LOVE TEASING YOU.
en,The song is revealing the secrets
en,"My body doesnt work how it used to from the psychiatric abuse after the mafia cunts at UMG plagiarized parts of this from shit i did in my house. Manson is a mobster and a thief. I thought he was someone like me when i was a teenager, but now i know he's just another tool of this disgusting nation where everything i am is killed off while everything i hate most survives. There is one culture in the usa and it is sadistic abuse for any reason that anyone can find."
en,Thank you Manson Ashley comes ever time she hears this song....
en,Ashley loves me.....Marilyn call me.
en,Miss you Manson! We are with you!
en,The punisher season 2 brought me here
en,"Kind of depressing this is my Album on this earth? Isn't it?

I said goodbye to my father for now, the man I became. I hope to visit his temple this year, somewhere below this city.

I am DISCO.
We were chaos.
Yet, this broken needle sings
Will never play you again."
en,"Congratulations, Marilyn Manson!
Looking forward to a great new album soon.
I have known you was innocent from the start, so I don't have to delete alot of comments like so many others does. We Are Chaos was awesome!"
en,Yeah he did real good on this.
en,Your into jesus christ marilyn harder than hell in colorado winter I locked myself in my house in colorado and got into jesus christ I'm the missouri vietnam child I had vulgar thrown on my body disgust trash that stinks I swear I had harder life than you actually I like your grandpa your nosey Brian nosey than hell it self devils nice sometimes on religious god night
en,"I'm 7000ish days in my binge lol nearly 20 years of living life to the fullest, I know I'm Gunna die young but fuck it I've lived every day like it was my last and I've had a bloody good time doing it"
en,I know a few people who should be 6 feet deep.....
en,Congratulations Marilyn Manson!!!
en,I Really like this video and baby you make the Best.
en,"Like Bowie, a true ARTIST in every sense of the word."
en,I real vampire from true horror
en,"The character the joker should be played by Marilyn Manson and only him, he would do a great job and No One can tell me different!!"
en,Marry me
en,"All the best for april 11th my man, fact Ashley Smithline spoke the truth of Evan and Illma's hoax means their case is basically dead in the water now, I hope you can rebuild yourself once more, like columbine this was nothing more than a media witch hunt fuelled by a collaborative metoo social media hysterical hoax against an easy target."
en,This song is phenomenal
en,Marilyn Manson does not chase the dead
en,Always loved the lyrics of this song but not the original Performance this one is an amazing cover
en,Marilyn Manson is my third day of a seven-day binge
en,"I'm just here to show you some love after the woke mob tried to sideline you with a manufactured rape case.  Keep on truckin my dude.  You were a good voice when I was a teenage punk.  I am overjoyed to see you're still making music, and I am writing down your name now, as I build a list of artists that are targeted by, or make targets out of these sociopaths.  Music is going to be very important if we ever want a cultural revolution.  Keep being yourself, I love the grunge sound."
en,My dad is can play this song with a guitar cover
en,I will make you feel happy Daddy I will make love to you for hours and all day and night to morning and over and over again all your fantasies I will give it to you.
en,It's like I remember meeting you in a past life or something.
en,I'm gonna go thru those pics and I swear this man years ago  I met looked exactly like you and I was 16 or 17.
en,Smithline flipped!!!
en,0:21  You just can't help but clap along with him... It's too good. :)
en,Norman Reedus looks bad ass as fuck. He seems pissed off. Kinda scary. Can't think of anyone better than him to be in a same video with MM. Fuck yeah man.
en,This man just being his simple self has so many layers. I just love watching him and his art.
en,This man just being his simple self has so many layers. I just love watching him and his art.
en,WE NEED A NEW ALBUM! PLEASE RELEASED IT!!!
en,Straight to the dumpster
en,"The music is so awesome, what a great band behind him."
en,You have a old house i see so can we new so have i a home too
en,I by me at home when want you is our see we wrong
en,Think you jes is it right you have think i in dangeroures jes this is what it is this bathroom without eindow not my new home want paper house not so i tell left side jes their end money mean paper house
en,Hes great writer songs in my view
en,You dont think.this huy talented tell me who.write I g like this not your ass ok good
en,maybe my interpretation is wrong but are we are to assume manson ended up bleeding to death during the car ride so as revenge lindsay shot norman for stabbing manson?
en,"hello marilyn manson, i like this song because i see myself reflected in it."
en,Alice Cooper
en,Unchain me
en,crazy not even the title track
en,Marilyn Manson is an alchemical man...
en,Marilyn is a real true life God bless us
en,Reminds me of a joke Heino song on Instagram about a gypsy girl who fingerd him with her pinky finger
en,he promotion for this new era is nothing short of incredible
en,"All these fools though him dead, be dead themselves, MM just returned from the dead"
en,"somewhat looked at in a taboo way. Now, i realise in my older years"
en,ansons music must mean so much to hera lot to me too but look those tattoo
en,A song about Lisa Marie Presley?
en,"Lyrics: 
Smell your blood
It's like a carnival, or state fair
Skin is cotton candy
So easy to melt in my mouth
Don't wanna know
Don't need to know
You got champagne problems
Don't wanna know
Don't need to know
You got champagne problems
I need a raincoat for tomorrow
I need a raincoat for tomorrow
It's about how much people cry
When you die
It's not about the storm of tears
That you make when you're alive
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Ring all the bells you can ring
There's a crack in everything
That's how the sunlight gets in
Ring all the bells you can ring
There's a crack in everything
That's how the sunlight gets in
Don't wanna know
Don't need to know
You got champagne problems
Don't wanna know
Don't need to know
You got champagne problems
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Half-way and one step forward
Past the points of no return
Don't wanna know (half-way and one step forward)
Don't need to know (past the points of no return)
You got champagne problems (half-way and one step forward)
Don't wanna know (half-way and one step forward)
Don't need to know (past the points of no return)
You got champagne problems (half-way and one step forward)
Past the points of no return"
en,Love it...this is powerful
en,"The footage of them dissing each other on stage, was well... staged."
en,This song sounds like plagiarism. Listen and compare to the Seed (2.0) by the Roots. Someone gonna sue someone.
en,Good to see him still making socially relevant music smart guy and terrific
en,pretty are always kept behind glass to defend herself from kids making
en,"drives behind and the guitar just winks, the synth completes everything"
en,"Why is this masterpiece so underrated?
Just 3m"
en,His voice is only becoming gold over the years! MM fan for life
en,"voice drives behind and the guitar just winks, the synth completes everythin"
en,MM is the best of THEM
en,I love Marilyn manson
en,She a nimpho I'm done share her Cleveland giggling to myself dead! Doctor music said..scene out
en,"good old days - epic wars, razing entire towns, remorseless slaughter"
en,hat he can still deliver a great piece of work The guy lost his parent
en,aven't felt these goosebumps since Holy Woo! Keep kicking ass my dude
en,"yrically and musically, they are all masterpieces Will always be a fan"
en,some of the darkest music will bring some people out of the darkest places
en,"I love listening to him talk in interviews, his voice sounds so good"
en,never forget all your fans who will never have the chance
en,But Manson is on a whole other like dimension or level than any of those artists
hr,good advice
hr,good advice
hr,good advice
es,Ese piano es adictivo !!! ............
es,Que gran tema c0ñ0!!
es,que voz  meus amigos!!! que voz!!!
es,coca y mucha....
es,Felicidades y saludos desde la Ciudad de México Mr. Manson
es,Ese piano es adictivo !!! ............
es,Que gran tema c0ñ0!!
es,coca y mucha....
es,Felicidades y saludos desde la Ciudad de México Mr. Manson
es,Ese piano es adictivo !!! ............
es,Que gran tema c0ñ0!!
es,que voz  meus amigos!!! que voz!!!
es,coca y mucha....
es,Felicidades y saludos desde la Ciudad de México Mr. Manson
ru,"Когда я сижу и выпиваю дома через мой мозг проходят самые разные исполнители и жанры, но каждый раз мой эстетический вечер заканчивается его музыкой. Гениальный музыкант и,не менее гениальный режиссёр видео."
ru,чисто депешей скопировали
ru,Ты лучший
ru,приятный клип. ни4ё так ..
ru,Выпивал 2 недели. Потом тяжко было;)
ru,"Когда я сижу и выпиваю дома через мой мозг проходят самые разные исполнители и жанры, но каждый раз мой эстетический вечер заканчивается его музыкой. Гениальный музыкант и,не менее гениальный режиссёр видео."
ru,чисто депешей скопировали
ru,Ты лучший
ru,приятный клип. ни4ё так ..
ru,Выпивал 2 недели. Потом тяжко было;)
ru,"Когда я сижу и выпиваю дома через мой мозг проходят самые разные исполнители и жанры, но каждый раз мой эстетический вечер заканчивается его музыкой. Гениальный музыкант и,не менее гениальный режиссёр видео."
ru,чисто депешей скопировали
ru,Ты лучший
ru,приятный клип. ни4ё так ..
ru,Выпивал 2 недели. Потом тяжко было;)
pt,Meu ídolo
pt,Meu ídolo
uk,Один з найунікальніших артистів нашого часу
uk,Екс-президент США Джиммі Картер відмовився від лікування
uk,Один з найунікальніших артистів нашого часу
uk,Екс-президент США Джиммі Картер відмовився від лікування
uk,Один з найунікальніших артистів нашого часу
uk,Екс-президент США Джиммі Картер відмовився від лікування
it,Inocente sempre!!
it,U ll be go to hell .. Illumitati papat
it,Inocente sempre!!
it,U ll be go to hell .. Illumitati papat
it,Inocente sempre!!
it,U ll be go to hell .. Illumitati papat
de,Fühlst du den Windwechsel
de,Respektiere dich Affe
de,Chefredakteur vom Tageblatt halte durch. Wir sind Rockstars. Signé Klein Tom
de,Vergewaltigen ist das 3. REICH
de,Menschenhandel ist nicht Luxemburg
de,Menschenhandel ist nicht Luxemburg
de,Dafür müssen viele Freundinnen und Mütter den Arsch hinhalten Sodonougou Laurent. Signé Klein Tom
de,"Geh dem Geldfluss nach. Luxemburg, Hamburg und Westafrika und zurück. SIGNÉ KLEIN TOM"
de,Chef du bist der dritt größte Arbeitsgeber in Luxemburg und fickst Jeden und Alles. Diese Pozilisten auf Koks schauen zu. Signé Klein Tom
de,Künstliche Intelligenz spielt einem Vergewaltiger wie Schonckert Laurent nur in die Hände
de,Fühlst du den Windwechsel
de,Respektiere dich Affe
de,Chefredakteur vom Tageblatt halte durch. Wir sind Rockstars. Signé Klein Tom
de,Vergewaltigen ist das 3. REICH
de,Menschenhandel ist nicht Luxemburg
de,Menschenhandel ist nicht Luxemburg
de,Dafür müssen viele Freundinnen und Mütter den Arsch hinhalten Sodonougou Laurent. Signé Klein Tom
de,"Geh dem Geldfluss nach. Luxemburg, Hamburg und Westafrika und zurück. SIGNÉ KLEIN TOM"
de,Chef du bist der dritt größte Arbeitsgeber in Luxemburg und fickst Jeden und Alles. Diese Pozilisten auf Koks schauen zu. Signé Klein Tom
de,Künstliche Intelligenz spielt einem Vergewaltiger wie Schonckert Laurent nur in die Hände
de,Fühlst du den Windwechsel
de,Respektiere dich Affe
de,Chefredakteur vom Tageblatt halte durch. Wir sind Rockstars. Signé Klein Tom
de,Vergewaltigen ist das 3. REICH
de,Menschenhandel ist nicht Luxemburg
de,Menschenhandel ist nicht Luxemburg
de,Dafür müssen viele Freundinnen und Mütter den Arsch hinhalten Sodonougou Laurent. Signé Klein Tom
de,"Geh dem Geldfluss nach. Luxemburg, Hamburg und Westafrika und zurück. SIGNÉ KLEIN TOM"
de,Chef du bist der dritt größte Arbeitsgeber in Luxemburg und fickst Jeden und Alles. Diese Pozilisten auf Koks schauen zu. Signé Klein Tom
de,Künstliche Intelligenz spielt einem Vergewaltiger wie Schonckert Laurent nur in die Hände
fi,#marilynmansonisinnocent
fi,Hi I miss you
fi,#marilynmansonisinnocent
fi,Hi I miss you
fi,#marilynmansonisinnocent
fi,Hi I miss you
tl,Congratulations Marilyn Manson!!!
tl,Im Agod
tl,Im Agod
tl,Congratulations Marilyn Manson!!!
tl,Im Agod
tl,Im Agod
tl,Im Agod
tl,Im Agod
af,MM like a holwood deri
af,aweesome
af,MM like a holwood deri
af,aweesome
af,MM like a holwood deri
af,aweesome
sl,Klein Tom vs Sodonougou Yves
sl,Klein Tom vs Sodonougou Yves
sl,Klein Tom vs Sodonougou Yves
sv,"Stunning, stunning and fuckin stunnin"
sv,"Stunning, stunning and fuckin stunnin"
fr,Magnifique voix et magnifique musique !!
fr,Magnifique voix et magnifique musique !!
fr,Magnifique voix et magnifique musique !!
id,Thank  you sir
id,Thank  you sir
hu,Absolutely gold
hu,Absolutely gold
hu,Absolutely gold
so,2001 3day (12)
so,😘🤟💖 yeahhhhhhh
so,2001 3day (12)
so,😘🤟💖 yeahhhhhhh
so,2001 3day (12)
so,😘🤟💖 yeahhhhhhh
zh-cn,神。
zh-cn,神。
zh-cn,神。
