Key,Value
en,Thank God for Marilyn Manson.
en,Hi Azie. Just checking in..everything is good here. Hope you're doing well. You're still my favorite weirdo. 
en,"When you are suffering, know that I have betrayed you !
That is self exclaiming and scary shit"
en,"You are always welcome in Europe, Manson."
en,tommorrow is my birthday could  you send  me a happy birthday  by videocall pleasse manson you are beautifull im belem busch 36 years
en,tommorrow is my birthday could  you send  me a happy birthday  by videocall pleasse manson you are beautifull im belem busch 36 years
en,i love you so much come to hermosillo sonora mexico pleasse is my dreams  look
en,Is that Norman Reedus?
en,So good for the times we find each other
en,Best song on the album 
en,Brian I'm from ohio as well were so lucky to have you as part of our state speaking on behalf of us Ohioans
en,"So hot what ..a..man !

Meanwhile he could be my dad"
en,This shit is dope! Please play a duo with Mad-donna! 
en,"An Artistic throw at the typically mainstream Industrial sound, though quite fancy, unusual, and yet lyrically not a common Manson approach. In other words...different idea here { and yes it works} certainly paid off with another bad ass song."
en,Thanks Mr M Manson it's a very good Song ....This song and in my favorite list of my best songs...I've always had a deep respect for you and your créations ! Your alter ego M Manson is just what America only wants to see from you ...but Brian is a genius ! 
en,Stay Upside Down...   
en,Baby my heart was beating too fast so I had to have my zanex but I never had a problem with ever getting addicted too that babe I feel so much better.
en,10 Yars Youngr & Stll Tha Best Best Indstry
en,Perfect song to listen on repeat and just get lost in it
en,I've reached the ... 700+ day of a seven day binge. No choocky intended. sorry 4 my french.
en,Thank You Brother  Your Music Keeps Me Alive 
en,This song is true brilliance.
en,If someone truly loves you they will protect you so I love you and I would Do anything for you as long as it was necessary.
en,Why did you eat that bible
en,Idk what your smokeing but assuming what your smokeing is no good certain smoke sinks if u know your stuff
en,Love this song and manson everytime I play this song my 12 year old son does the ah ha ah ha ah ha it's awesome
en,It's been 2 years already huh...
en,He’s so beautifully strange 
en,Stop messing around. Ur horrible to your fans since say10. I say 5. Click click
en,I'm sorry that I have wasted your time and mine!! You have no idea how Marilyn Manson is really feeling and that what he is going through!! I do!!!!!!!!!!!
en,They r deleting ....
en,Cause I'm fuckin lost in this so called world!!!
en,One of my favorite!!! I wish I could meet mm .....He would give me inspiration again!!
en,The drums...too much wisky...lol
en,I dig his voice and yhe drums...love u mm!!!
en,He is a musical and visual genius
en,This song broke my hard love you Marilyn 
en,First Spiknot song i Heard. Love this.
en,this is the one banger that successfully gets even deaf people headbanging.
en,can anyone else peacefully fall asleep chilling to this?
en,Slipknot aint no rap band . True fuckin metal.   SPIT IT OUTTTTTTTTTTTTT
en,Who wakes up and plays this every morning 
en,That drum beat 3:43 sounds like 00-07 Linkin Park
en,When I was younger my chicken  passed away and I played this at funeral
en,writing a one page essay right now to my government about why i have a goat tattoo. sincerely trash.
en,"Pikachu is a virgin!!! 
Second :50"
en,"Is it bad I grew up listening to this? 




No"
en,"Depression and sadness can be one of the most addictive states of mind. To be depressed is so much easier than not being depressed. It can take your life and vanquish all joy and happiness, and what makes it even more sad is that we let ourselves live in this world in the hopes that it will one day be less dramatic. This song is just perfect in portraying that love hate relationship with oneself. Just perfect"
en,original experimental music like spiders was it grew on me this is depth
en,"After following them for a lot of my life so far, kinda feels like I know these amazing geniuses"
en,"This song reminded me why I got into Slipknot as much as I had and still very much am. Nowhere else will you find a vocalist with the talent of Corey Taylor, nor the enveloping melody of this ""metal orchestra"" which is just mountains about all the rest!"
en,2:04 -2:14 sounds like he is bashing YouTube xd
en,This band means so much to me. They got through some hard times in my life. I will always love Slipknot
en,"question , who had the idea of the Slipknot look ?"
en,Years later and it's still one of the best songs ever written
en,"The Myth
The Legend 
The Number One
The Joey Jordison"
en,Years later and it's still one of the best songs ever written.
en,Oh So this song is about what’s going on in Ohio right now….Thanks for telling us what was gonna happen 15 years before it happened.
en,"slipknot, i am from Brazil and i looove slipknot. Its very Fanny..."
en,One of my favorite bands
en,Why was clown T posing?
en,"the second one is too true.

https://youtu.be/INi3qP1oWlY
epilepsy warning btw."
en,Let the hate flow pussies
en,Let the hate flow.. pussies
en,"I can understand people, who pays respect to Joey, but c'mon, Paul's bass!!!!! That was low af and BBBBBBAAASSSS."
en,"I can understand people, who pays respect to Joey, but c'mon, Paul's bass!!!!! That was low af and BBBBBBAAASSSS."
en,"This isn't a Disasterpiece, this is a Masterpiece!"
en,Stop bitching at GOD your father! Repent as we all must
en,No masks ... I'm worried... 
en,First heard of Slipknot when I was in 5th grade...now I'm picking up where I left off ..... 
en,I'm hated everyday Soo much pain
en,"I have a complicated relationship with this song - I was in the worst relationship for 7 years, it nearly destroyed me physically and mentally...I was addicted to the trauma as well as the drugs we were taking.  She was the one who introduced me to this song, it was her favourite on the album.  It's such a masterpiece of a song, but it also shows me a window into the past which I would never want to revisit."
en,one of the greatest songs ever written..
en,God says we can have this this is my church music
en,this music is like pat-pat my уши
en,What a shame… not a single African American person in the crowd at all… shame whitey shame.
en,Can someone do a mix of this song and MuDvAyNe -IMN please!!!!! PLEASE?
en,Introvert listen to this song 
en,Our money died out turn of century
en,ahh slipknot. the fake mushroomhead created by david geffen  to replace them after j.nothing turned down geffens offer of slavery
en,"Sinister and macabre, and i like It "
en,These guys have been through hell and left it cold.
en,I’d like to invite these guys to my church.
en,I remember when I saw this videoclip first time in MTV...this was the closest time to see the real face of Slipknot members...there wasn't photos of them w/o masks
en,how dare some of these people just be slightly headbanging.
en,"Fun facts:
- the song is about literally what the lyrics say ""I push my fingers into my eyes to slowly stop the ache"", its a headache that went on for seemingly forever & drove them nuts. 
- the crowd in the video, all are fans of the band, some flew in from Europe."
en,bruh this is in 8k now.
en,"No words, just make more of this PLEASE: just a fucking MASTERPIECE!"
en,"This song breaks my heart and makes me feel things I hate feeling. Yet I can appreciate this song in all aspects. One of those songs that hit differently at different stages in your life. No matter the reason I will always come back to this. However, the video still confuses me to this day... And I still get confused as hell at Corey in drag at the end.. amazing nonetheless."
en,Every time. Very emotional moments  <3
en,"I believe you can be born again in a sense cause. How else do you gain more voices of your old dead self.

You have to recreate in order to die/ lose yourself again, don't you?
"
en,"before i thought corey was saying ""you can't take my son away from me"", hence the name new abortion.. 
knowing he says soul now gives it a different feel"
en,Slipknot it's the most brutal band
en,This is beautiful and haunting
en,Relatable right here. Always looked forward to the final track on slipknot albums cuz they’re so intense. This one’s an anthem no doubt.
en,How do you FIND f[footage like that
en,I thought The Goal of Being Disabled was To Help Individuals Rehabilitate Back Into The Work-Force: Not To Prove Exactly How Disabled They Actually Are? (Barack Obama).
en,"I Need To Find A Full-Time Job To Have Complete Access To My Financing because I Have A Representative-Payee Named Allison Phillips From The Advocacy Alliance in Scranton, PA. She Really Has My Best interests in Mind As A Disabled Person: Does She Not?"
en,"I am involved in A Medical Negligence Lawsuit that, if not Dealt With, will Lead To My Wrongful Death."
en,"The poetry, the images, the emotion that was put into this... Don't get me wrong, it is a banger! But it's not just that. It's a collage of deep seeded feelings."
en,Possibly Slipknots finest moment. And the legend that is Malcolm McDowell in the video.
en,@2:33 how the fuck did I now notice this!?
en,"When I used to have those terrible cluster headaches, I can confirm I did this, pushing my fi gers into my eyes"
en,Corey Taylor geuss what my name is its corey Taylor
en,My favourite song!!!!
en,Slipknot should do a collaboration with stone sour
en,This song makes me want to go memorize the periodic table
en,This song makes me want to go and buy something only just out of my price range and go back the next day complaining it's broken
en,Ifts verpy harg ti typw witj mu finfers in mu eyesa
en,"My brother you are very missed, I'm always with you bro"
en,I always go to slipknot for that adrenal pick up. This band has creeped into my head in a new way. Amazing visuals.  Damn
en,This is the last song my best friend listened to before hanging himself. I was the one that found him. My life will never be the same.
en,Tony Montana checking in
en,1:36 She’s wearing the same mask as the “maggot mask” on the Vol. 3: The Subliminal Verses album cover
en,"Do you like modern extreme death metal and grindcore, noise? Yeah, well regardless of what you think of this band, you can thank these guys for all the kids they turned on to more extreme forms of metal and are the ones making the music you are listening to these days.

Thank you, Slipknot. I didn't appreciate you so much years ago, but i do now."
en,0:59 This song Brings back memories from Guitar Hero 3 
en,I will never get sick of this song.
en,"Leaving this world, but thank you slipknot for make it easier."
en,First time seeing the video I love the lyrics and music but this video put it over the edge <3 Did you put the art together for this C?
en,Looks like the easiest music video to make. You guys lip sync the song and we'll dub it in. Have those fat shirtless white kids break in and dance around. We got this in one take guys. Shaky camera guy let's roll!
en,"Wow Taylor looks so fkn handsome in a suit, slicked back hair n glasses OMFG"
en,"This is my favorite song from Slipknot, every day I listen to it again with a beautiful melody"
en,"this is cool again with very beautiful music and melody, I like this again"
en,2023 and this still hits like it just came out. 
en,I like there songs like this Better then the really heavy stuff
en,This is probably my favorite music video of all time. Singlehandedly turned me into a fan at the age of 11 when I was convinced I could never possibly like this band.
en,Best opening scream ever recorded to this day
en,"This song is way overrated, totally forgetable."
en,Should've been Craig playing the piano at the end......
en,This is what I imagine the Elves and Dwarves in middle earth listen to.
en,Violence is a part of the mind language.  We are maggots.  People = sh*t
en,Step in side and see the Devil  in I slipknot Cory Taylor slipknot for life
en,‘For a minute I though I was dead me-‘
en,"Ok, but can I ft y’all???"
en,bro ice nine kills makes shorts- didn't know that but cool 
en,"The carnage continues at a concert near you! Na na na boo boo, INK's gonna get you!!"
en,"9:55 Not as chunky as in scanners, but definitely more bloody. I give this head explosion a 4 out of 5. Great job James, you earned it."
en,imagine doing homelander to idk lol i love youuuu guysssssss
en,The ending was so perfect
en,"love going to trinity, seen then every time. amazing shows!"
en,Nice to see James using logic and stomping out the fire.
en,i cannot get over how this mv was animated by the same team that makes elhugueny videos
en,"My Birthday is Valentine’s Day, this is better than any fifty shades or magic Mike movie"
en,Alex the terrible lead me to ice nine kills .....I now have a new favorite band list
en,Spencer has more faith in INK fans than I do in humanity… 
en,The second guy who came in after Spencer he sounds hot has Spencer
en,The music video looks like something from an lhugueney animation but good
en,"Holy fucking shit that's brutal!

I got the cassette version of this album earlier today and I'm pretty sure I've listened to it about 8 times in a row so far. Fantastic work all around!"
en,Yea and isn’t that main detective the guy from the devils rejects too?
en,"The one where Patrick is spitting out water is hilarious, but the coolest one would have to go to Spencer looking in the sky with his arms out. Absolutely amazing. Honestly though, a lot of these would actually be amazing album covers! "
en,I think they should do a collaboration with five finger death punch or famous last wordsor even rammstein
en,"Still better than the ETITB cover art :,)"
en,"Still better than the ETITB cover art :,)"
en,"Still better than the ETITB cover art :,)"
en,"Still better than the ETITB cover art :,)"
en,I’d buy those albums
en,The one with the crowd was amazing!
en,The last two ones we're my favorite
en,"First, and everything can be an album cover lmao"
en,Can someone tell my dumbass what movie this song is based off of?
en,POV: you heard “HEY PAUL” over your shoulder
en,"James just kicks so much fucking ass, I remember I met all of these guys back stage in Denver at the peak of their horror album and it fucking ruled. Sure, it snowed, and i been lost for hours on end after the show, but it was all worth it. I'm so grateful to bear witness to a masterpiece album of horror, let alone witness a horror legend like James A Janisse be part of it like?!?!"
en,This band is very corny and cringe but god are they fun to listen to
en,That credits song is fire
en,I gotta see them live 
en,Please do something for Tim burton
en,This song always makes me cry. I think of my own children. I know it's based off of pet cemetery. But like if anything ever happened to my kids I'd meet them in the afterlife.
en,But was Spencer on his knees
en,Imagine  seeing that in your room
en,Meanwhile the dead Jacoby on the ground
en,"For some silly-ass reason, my fav line from all these videos is the quick aside, ""Et tu, DA?"" XD"
en,did they get Lhugeny to animate this
en,I watched this through a YouTube link while it was still unlisted but it’s hella cool it’s unbanned again
en,very underrated in terms of views but really great stuff
en,"There's something about the expressions and facial movements when Spencer sings in this music video. The second time he says ""Are you listening through the whispering"" and thr second ""Is it sinking in, cause it's sickening."" The way he moves and the faces he makes is sick. "
en,"The Rammstein Vibe is strong in this one, unfortunately…"
en,The Humbrella Corporation if there is also the zombie virus and has 100 percent of it being a worldwide zombie attack on our planet Earth !!
en,3:16 is that not the same police officer from the wrong side of heaven music video by 5FDP?
en,"Absolutely love that first kill, oh my lord"
en,The intro gives me serotonin instantly
en,"His neck is not of human but god, his neck can make any corpsre rot."
en,Ol' Sugarman throwing it down!!!!
en,When he says “you will never grow up” it sounds like the toys r us “you will never grow up im a toys r us kid” jingle. Idk if it was intentional or not
en,"Y’all kill it on stage. I’ve only seen you guys once but man, the audience was deafening with how many sang along."
en,Was that Ash on his arm ?
en,It’s been a year since this song came out and funny enough I started my job the exact same day so a good song to start a good job to.
en,Saw you guys live last year keep up the great work also happy Valentines day
en,“Hearts are broken and the damage is severe. You’ll fall headless over heels cause the 14th is here”
en,Hip to be scared and funeral derangements are my two favorute mysic videks by ink
en,Yes! The uncensored cut! That's more like it!
en,Chelsea dies in the music video! 
en,These videos are amazing!
en,These videos are amazing!
en,James makes the best puns! I love these videos!
en,Amazing music video! I love the story!
en,James A. Janisse thank you for sharing Ice Nine Kills with me! I love metal & horror so I love this band! You're in the music videos!
en,I need more im soulless 
en,"Oh hell ya I did, sometime you should make a ex mortis video"
en,I bet their concerts are the fucking best
en,Coolest live show I ever seen!
en,Wish they show the other members other then spencer
en,The amount of times ive watched this I swear. I cant get enough
en,That Corpsegrinder headspin 
en,"Other Bands most replayed part: *chorus*
INK most replayed part: HEY PAUL!"
en,After i saw this american psycho had been on my mind for days. So i finally decided to watch the movie and now i understand the video way better
en,One of my drum students just suggested I listen to this. Didn’t know she was this metal! Awesome stuff!
en,Now this is something I needed for my birthday (the 14th). Thanks INK!
en,"ive spent more time then i should have looking at this. i was trying to figure out who played jud nelson in the video(because it was bugging me) and i think i found it. 3:43 is where im comparing the images. so i think the person who plays jud nelson is philip a. nelson, a professor of a computer science department. i mean they look far too similar. (also if the reason the full name of phil wasnt put in the description was for privacy reasons let me know and ill delete this comment)"
en,Deserves a Billion views off of the video alone.
en,"WHAT A COOL DEATH!!!!!  AND SHE DID THE DEATH TWITCHES TOO THAT'S SO PERFECT!!!!  Bravo, Chelsea, bravo!!!"
en,Definitely singing this at school
en,"It's almost hard to believe that the music video for Take Your Pick is almost a year old now. I feel like it was just yesterday when it was released, where have the years gone. Absolutely love this song, and the music video never gets old. I'll probably watch it a few hundred times on Valentine's Day. Have a good one everyone, and Happy Valentine's Day! "
en,"""For a moment I thought I was DEAD MEAT"" 
heh. Clever. RIP James"
en,"So- Three in the chest, Two in the stomach, One in the back

3, 2, 1
His signature.
But the video was reversed, what's the ""Got you"" about if I'm wrong about that?"
en,Well I'm not going to be in a mine with a serial killer on Valentine's day so hopefully this won't happen
en,My Bloody Valentine!! Let's fucking go!!
en,My favorite song off of Horrorwood!! I hope you guys go back to playing this song live on your next US headlining tour. Or at silver scream con which I will be at!!
en,Bruh not it ending before the breakdown 
en,"FUCK yeah my wife and I jam to this song all the time (really the whole album) lol can't wait! Also love how when Spencer is singing ""love hurts, in my mine, blunt force, then you die"" they're totally smoking a blunt hahahh"
en,"Those unaware, My Bloody Valentine’s release anniversary is today!"
en,Favorite song on the album
en,Definitely showing my girlfriend this song on the 14th. 
en,"Wow, that year has zoomed by."
en,Definitely a memorable day.
en,Impressive. Very nice. Let's see Papa Roach's video.
en,Ultimate sigma anthem
en,"pithy and crass, with little talent."
en,"I thought i was dead meat, i laughed loud for that one"
en,Mans got a Efficiency 5 pickaxe fr
en,Mans got a Efficiency 5 pickaxe fr
en,“Movies Don’t Create Psychos. Movies Make Psychos More Creative!”
en, All these music videos should be put together into a movie. It would be awesome.
en,"This is one of the best songs in INK catalogue, it displays how good they are as a band and how amazing Spencers vocals are. And the breakdown is just so well done. Who cares if they're a ""gimmick"" band, their music is honestly some of the best in metalcore"
en,Now this is some ice nine kills pure fucking hardcore!! Yessss!!!
en,why does the explosion start inside the head rather than at the neck?
en,This is probably my favourite INK song.
en,Bill Moseley!! Hell yes!
en,Tbh it was pretty meh I didn't see why it was censored. I liked it the least out of all the new songs. Better luck next time I suppose
en,gotta do a song about event horizon
en,Definitely one of the best music videos I've watched however I think James needed more blood after he exploded.
en,"Yes, it’s better than most of the newer horror movies I’ve seen lmao"
en,I agree with what Metal Mania said it’s pretty badass
en,Okay ummm…….yeah this is amazing
en,Simply perfection!!!!
en,"as an SFX enthusiast i LOVE how this cut is made, man oh man this is beautiful. Thank you SO MUCH for uploading the uncesored version"
en,JAMES!!!???  I gotta say this is James cup of coffee so kudos to james
en,"""I forgot everything is gonna be on fire."" sounds like something you dont forget just like casually"
en,God imagine if they got Jared Leto from 30 Seconds to Mars for this video..
en,I don't understand why people do this to her like it's kinda disgusting
en,"I saw you and your bitch ass brother high as a kite climbing his auntys fence, her neighbour nice quiet neighbourhood. You couldn't afford a crown if it was given. A real crown  there's yours. Byeeeeee"
en,COMPETETITION. I DONT SEEK ANY
en,I have Real life Anacondas. You have a few nice spiders also probably stolen from James that you love to stalk when he was here in Nzl now I'm picking up the pieces. ISLAAM BITCH.
en,"Hahaha ew you think just cos you scare the world you never scare me. Bitch. I'm princess Aurora. Or know me from your place in America as Baby the famous cheer leader. Your art is unbothered. And bitch I heard u stalking the back yard of Joan, when I was ther. U ain't shit. Back to your church black gal"
en,"You changed my life forever, Billie. I love you!"
en,Billie Eilish You are the great Live Perfomance what i have watch and you are Better than any other girl big Fan
en,Billie Eilish You are the great Live Perfomance what i have watch and you are Better than any other girl big Fan
en,I love you  Billy        
en,And I love you so much bille
en,But  I like  them so much  now I let them crool  on me
en,#AliciaKeys #Newyork fight a #luccessi -Odin
en,those spider look real but I can't really tell.... are they?
en,WHAT BAOUT THE PLANS WE MADE/??
en,Billie eilish I'm sorry 4
en,Billie eilish I'm sorry 4
en,This song is amazing <3s to Billie or hearts to Billie if you don't what that means
en,This song is amazing <3s to Billie or hearts to Billie if you don't what that means
en,This song about Illyria is pretty cool.
en,i love you billie eilish. I can't say in words how much I love you and how much I would like to see you in person
en,i love you billie eilish. I can't say in words how much I love you and how much I would like to see you in person
en,I love you so much I want to your concert
en,Billie was 13 in this vid! This is a masterpiece! 
en,Billie was 13 in this vid! This is a masterpiece! 
en,"God, this song is so beautiful!!"
en,"God, this song is so beautiful!!"
en,I was there when that happened it was a good concert 
en,I was there when that happened it was a good concert 
en,"i searched ""hahahahahah"" for no reason and i saw this? what the hell"
en,Billy you are just an amazing girl! I love you 
en,Billy you are just an amazing girl! I love you 
en,My mom passed away last month and I miss her too much 
en,Who came here again after Watch Locke and key?
en,Are you happy without xxxtentacion????????
en,Are you happy without xxxtentacion????????
en,I can't believe i slept on Billie's songs since her debut. Well now i realised i f'ed up...
en,I am still in love with you I can't let you go I love you!
en,It's beautiful lil girl
en,what about the plans we made?
en,come to our Estonian village in Tallinn 
en,come to our Estonian village in Tallinn 
en,I sang and played the piano to this at my school talent show and got second place 
en,"I love her. 
I’m here 6y and forever ."
en,"I love her. 
I’m here 6y and forever ."
en,Honestly should have more plays
en,Her voice is incredible 
en,Her voice is incredible 
en,glory to how wrote the lyrics
en,glory to how wrote the lyrics
en,glory to how wrote the lyrics
en,Like the Survivor reference
en,Like the Survivor reference
en,"Omfg Billie you are my favorite singer. Honestly. And I just wanted you to know, that out there: there’s a child (me!) who swears a lot (that’s not important but whatever), has YouTube (that’s also not important but whatever), and has memorized all of your songs. And also, who thinks you are DROP DEAD GORGEOUS!!! Have a great day."
en,This song hits me differently as a survivor from an abusive relationship
en,This song hits me differently as a survivor from an abusive relationship
en,"The part about all ur friends missing when u fall in love. Hits me when I was in an abusive relationship, where he made me cut off my friends and family.. and now I look bad on it as a survivor like wtf"
en,"The part about all ur friends missing when u fall in love. Hits me when I was in an abusive relationship, where he made me cut off my friends and family.. and now I look bad on it as a survivor like wtf"
en,2:08 I love how she went higuer than the studio version. I think the effect just makes it sound so nice
en,2:08 I love how she went higuer than the studio version. I think the effect just makes it sound so nice
en,Pls I am ur biggest fan can u to be Jesus kid
en,Pls I am ur biggest fan can u to be Jesus kid
en,Still waiting on my money from the famous people who have sang about me…
en,Still waiting on my money from the famous people who have sang about me…
en,Maybe I’m the problem.
en,Maybe I’m the problem.
en,shout out billie eilish if it wasn’t for this we wouldn’t have no apologies by rylo
en,shout out billie eilish if it wasn’t for this we wouldn’t have no apologies by rylo
en,OMG IM YOUR BIGGEST FAN 
en,"Acts 2:33
Therefore being by the right hand of God exalted, and having received of the Father the promise of the Holy Ghost, he hath shed forth this, which ye now see and hear."
en,"Acts 2:33
Therefore being by the right hand of God exalted, and having received of the Father the promise of the Holy Ghost, he hath shed forth this, which ye now see and hear."
en,Still one of my favorite songs
en,Still one of my favorite songs
en,BILLE I LOVE YOU SM AND GIRL OMG YOU ARE FINE ASF!!! MAKE SURE TO ALWAYS BE CONFIDENT
en,BILLE I LOVE YOU SM AND GIRL OMG YOU ARE FINE ASF!!! MAKE SURE TO ALWAYS BE CONFIDENT
en,Alaina i love you ill never leave you dw ill do anything for you
en,Alaina i love you ill never leave you dw ill do anything for you
en,"It hits hard when you didn't give much time to your friends bcz of the person you love whom you wanna spend most of the time but at last he ended up cheated & acted being in love with you. And now you're all alone, you started to starve yourself bcz of the depression specially for the person who you love the most never love you a little & also feel hate on yourself why you ignored your true just bcz of this cheater "
en,"It hits hard when you didn't give much time to your friends bcz of the person you love whom you wanna spend most of the time but at last he ended up cheated & acted being in love with you. And now you're all alone, you started to starve yourself bcz of the depression specially for the person who you love the most never love you a little & also feel hate on yourself why you ignored your true just bcz of this cheater "
en,You have saved countless lives. Thank you for your music
en,You have saved countless lives. Thank you for your music
en,"When she says 
“And I'll be in denial for at least a little while
What about the plans we made?”

reminds me of my dog ​​(he was like my best friend) he passed away the day before my birthday when i was traveling and when i found out he had died i started crying and remembering the promises i made to him when my financial conditions improved. I always wanted to take him to the beach but I think that will be next life"
en,"When she says 
“And I'll be in denial for at least a little while
What about the plans we made?”

reminds me of my dog ​​(he was like my best friend) he passed away the day before my birthday when i was traveling and when i found out he had died i started crying and remembering the promises i made to him when my financial conditions improved. I always wanted to take him to the beach but I think that will be next life"
en,She is so cool happier then ever is my fav music and f*** old men
en,Jesus kiddo!  You had me crying.  I woke up after a fall into a coma and woke with the what ifs and still have them.  This song bursts my soul. You are a special human.
en,Jesus kiddo!  You had me crying.  I woke up after a fall into a coma and woke with the what ifs and still have them.  This song bursts my soul. You are a special human.
en,REACT TO SARAH JAMES!…
en,REACT TO SARAH JAMES!…
en,Come out and play belongs to the offspring
ru,Это Я каждое утро...
ru,приятный клип. ни4ё так ..
ru,Выпивал 2 недели. Потом тяжко было;)
ru,"Мэнсон мы очень ждём новых песен и концертов тебя с Джонни!!! Вы лучшие друзья во всём мире, мы хотим ещё увидеть вас вместе на сцене! Мы вас любим "
ru,"Спасибо М.Мэнсону за то что он есть и творить отличную музыку,слушаем с детство и до сих пор,ОН яркая звезда в мире музыки,желаю долгих лет жизни и здоровья.Таких как он это редькость,один из миллиард ,вот Мэрилин бриллиант"
ru,Мирного решения не будет 
ru,Этому видео лет столько же сколько и мне
ru,Девушка которая сильно тормозит.
ru,Засыпаю как младенец под неё
ru,Довольно милая песня 
ru,Я единственная кто сдесь говорит по руски
ru,Человек который преуспел в ассоциировании себя Патриком Бейтманом
uk,Екс-президент США Джиммі Картер відмовився від лікування
uk,Надеюсь пацану хавка понравиласб
